GroupID,PiecesA,PiecesB,Packings,Islands,MaxEstimatedDiameter,StartStateA,StartStateB,EndStateA,EndStateB,TimeTaken(ms)
2/11930,3L180/3L/2I90/2I/0/0,3L270/2I90/0/0/3L90/2I,509796,15830,53,0 1 1 0 | 0 2 1 4 | 0 2 2 4 | 0 3 3 0,1 1 5 0 | 1 5 5 0 | 6 2 2 0 | 6 0 0 0,0 1 1 0 | 4 0 1 0 | 4 2 3 3 | 0 2 2 0,1 1 6 0 | 1 0 6 5 | 0 0 5 5 | 0 2 2 0,1093.184416
18/11930,3L90/3L/2I90/2I/0/0,3L/0/3L180/0/2I90/2I,391272,15190,55,0 0 0 4 | 0 3 3 4 | 2 0 0 1 | 2 2 1 1,0 5 5 0 | 6 3 3 0 | 6 1 3 0 | 0 1 1 0,0 3 3 0 | 2 0 4 0 | 2 2 4 1 | 0 0 1 1,0 3 3 0 | 5 5 3 6 | 0 1 0 6 | 0 1 1 0,696.540875
100/11930,3L/3I/2I90/2I/0/0,3L180/3L/0/0/2I90/2I,449820,9298,58,0 0 0 0 | 2 1 0 4 | 2 1 1 4 | 2 3 3 0,6 5 5 0 | 6 1 1 0 | 2 0 1 0 | 2 2 0 0,0 1 0 0 | 2 1 1 4 | 2 3 3 4 | 2 0 0 0,0 1 1 0 | 5 5 1 6 | 2 0 0 6 | 2 2 0 0,1187.986625
260/11929,3L180/3L/2I/2I/0/0,2I90/0/3L90/0/3L270/2I,574056,18758,51,2 0 0 0 | 2 2 1 1 | 0 3 4 1 | 0 3 4 0,0 6 5 5 | 0 6 5 0 | 0 3 1 1 | 3 3 0 0,0 4 0 0 | 0 4 0 3 | 2 1 1 3 | 2 2 1 0,0 0 6 0 | 5 5 6 3 | 5 0 3 3 | 0 1 1 0,1291.615541
262/11930,3L180/3L/2I/2I/0/0,3L270/0/3L90/0/2I90/2I,574056,14746,51,0 2 1 1 | 0 2 2 1 | 3 4 0 0 | 3 4 0 0,1 1 0 0 | 1 0 0 6 | 5 5 3 6 | 0 3 3 0,0 3 1 1 | 2 3 0 1 | 2 2 0 4 | 0 0 0 4,1 1 0 3 | 1 6 3 3 | 0 6 0 0 | 0 5 5 0,1370.277042
264/11929,3L180/3L/2I/2I/0/0,2I90/3L90/0/0/3L90/2I,426120,15922,61,3 1 1 0 | 3 0 1 0 | 2 0 0 4 | 2 2 0 4,0 1 1 5 | 0 0 5 5 | 0 2 6 0 | 2 2 6 0,4 1 1 0 | 4 0 1 0 | 2 0 0 3 | 2 2 0 3,0 1 1 5 | 0 0 5 5 | 0 2 6 0 | 2 2 6 0,1101.939958
262/11930,3L180/3L/2I/2I/0/0,3L270/2I/0/0/3L90/2I90,574056,16324,55,1 1 0 0 | 3 1 2 0 | 3 4 2 2 | 0 4 0 0,1 1 6 6 | 1 2 0 0 | 0 2 5 0 | 0 5 5 0,1 1 0 0 | 4 1 2 0 | 4 3 2 2 | 0 3 0 0,1 1 6 6 | 1 2 0 0 | 0 2 5 0 | 0 5 5 0,1220.736125
270/11929,3L180/3L/2I/2I/0/0,3L270/2I90/0/0/3L/2I,440592,16249,51,1 1 4 0 | 3 1 4 0 | 3 2 0 0 | 0 2 2 0,1 1 5 0 | 1 6 5 5 | 0 6 0 0 | 0 2 2 0,1 1 3 0 | 4 1 3 0 | 4 2 0 0 | 0 2 2 0,1 1 5 0 | 1 6 5 5 | 0 6 0 0 | 0 2 2 0,1050.866458
270/11930,3L180/3L/2I/2I/0/0,3L/2I90/0/0/3L270/2I,440592,16258,51,1 1 4 0 | 3 1 4 0 | 3 2 0 0 | 0 2 2 0,0 2 2 0 | 0 6 0 0 | 1 6 5 5 | 1 1 5 0,1 1 3 0 | 4 1 3 0 | 4 2 0 0 | 0 2 2 0,0 2 2 0 | 0 6 0 0 | 1 6 5 5 | 1 1 5 0,819.513083
272/11930,3L180/3L/2I/2I/0/0,3L/0/3L180/0/2I90/2I,574056,14748,57,0 0 0 3 | 2 1 1 3 | 2 2 1 4 | 0 0 0 4,5 5 3 3 | 6 1 0 3 | 6 1 1 0 | 0 0 0 0,0 3 2 0 | 4 3 2 2 | 4 1 1 0 | 0 0 1 0,3 3 0 6 | 0 3 0 6 | 0 1 5 5 | 0 1 1 0,1219.027375
277/11930,3L180/3L/2I/2I/0/0,2I90/3L90/0/0/3L/2I,440592,15830,57,0 0 4 0 | 1 1 4 3 | 0 1 2 3 | 0 0 2 2,0 0 0 0 | 1 1 6 0 | 5 0 6 2 | 5 5 2 2,0 0 3 0 | 1 1 3 4 | 0 1 2 4 | 0 0 2 2,0 0 0 0 | 1 1 6 0 | 5 0 6 2 | 5 5 2 2,886.546875
278/11930,3L180/3L/2I/2I/0/0,3L/2I90/0/0/3L90/2I,440592,15835,55,1 1 0 0 | 4 1 0 0 | 4 3 2 0 | 0 3 2 2,0 0 2 2 | 0 6 0 0 | 1 6 0 5 | 1 1 5 5,1 1 0 0 | 3 1 0 0 | 3 4 2 0 | 0 4 2 2,0 0 2 2 | 0 6 0 0 | 1 6 0 5 | 1 1 5 5,1114.421917
281/11929,3L180/3L/2I/2I/0/0,3L/0/3L/0/2I90/2I,426120,14271,59,2 1 1 0 | 2 2 1 4 | 0 3 0 4 | 0 3 0 0,0 1 0 6 | 0 1 1 6 | 0 3 5 5 | 0 3 3 0,0 0 1 1 | 4 3 2 1 | 4 3 2 2 | 0 0 0 0,5 5 1 0 | 6 3 1 1 | 6 3 3 0 | 0 0 0 0,889.929417
280/11930,3L180/3L/2I/2I/0/0,0/3L/3L/0/2I90/2I,426120,14258,53,3 0 2 0 | 3 0 2 2 | 4 1 1 0 | 4 0 1 0,3 0 2 0 | 3 3 2 2 | 0 5 5 6 | 0 0 0 6,0 0 2 0 | 1 1 2 2 | 3 1 4 0 | 3 0 4 0,5 5 2 0 | 0 6 2 2 | 3 6 0 0 | 3 3 0 0,905.158708
282/11930,3L180/3L/2I/2I/0/0,3L/2I90/0/0/3L/2I,426120,15932,61,3 0 1 1 | 3 0 0 1 | 0 2 0 4 | 0 2 2 4,5 2 2 0 | 5 5 0 0 | 0 6 1 0 | 0 6 1 1,4 0 1 1 | 4 0 0 1 | 0 2 0 3 | 0 2 2 3,5 2 2 0 | 5 5 0 0 | 0 6 1 0 | 0 6 1 1,764.602083
286/11930,3L180/3L/2I/2I/0/0,3I90/2I/0/0/3L90/2I90,506520,11364,55,0 1 1 0 | 3 0 1 0 | 3 4 2 0 | 0 4 2 2,1 1 1 5 | 0 0 5 5 | 6 6 2 0 | 0 0 2 0,0 1 1 0 | 4 0 1 0 | 4 3 2 0 | 0 3 2 2,1 1 1 5 | 0 0 5 5 | 6 6 2 0 | 0 0 2 0,1126.465667
287/11930,3L180/3L/2I/2I/0/0,3L90/3I90/0/0/2I90/2I,506520,9540,59,1 1 4 0 | 0 1 4 3 | 0 2 0 3 | 0 2 2 0,6 2 2 2 | 6 1 0 0 | 1 1 0 0 | 0 5 5 0,1 1 3 0 | 0 1 3 4 | 0 2 0 4 | 0 2 2 0,6 2 2 2 | 6 1 0 0 | 1 1 0 0 | 0 5 5 0,1158.05575
296/11930,3L180/3L/2I/2I/0/0,0/3L90/2I90/0/3I/2I,506520,15574,54,1 1 3 0 | 0 1 3 0 | 0 4 2 0 | 0 4 2 2,0 3 3 6 | 5 0 0 6 | 5 0 0 2 | 5 0 2 2,0 3 4 0 | 0 3 4 0 | 0 2 1 1 | 0 2 2 1,3 3 0 6 | 5 0 0 6 | 5 0 2 0 | 5 2 2 0,1116.027459
298/11930,3L180/3L/2I/2I/0/0,2I90/3L90/0/0/3I/2I,506520,13375,63,0 1 1 4 | 0 0 1 4 | 0 2 0 3 | 0 2 2 3,5 1 1 0 | 5 6 0 0 | 5 6 2 0 | 0 2 2 0,0 1 1 3 | 0 0 1 3 | 0 2 0 4 | 0 2 2 4,5 1 1 0 | 5 6 0 0 | 5 6 2 0 | 0 2 2 0,1046.598833
304/11929,3L180/3L/2I/2I/0/0,3L/2I90/0/0/3I/2I,506520,13387,63,4 1 1 0 | 4 0 1 0 | 3 2 0 0 | 3 2 2 0,0 2 2 5 | 0 0 6 5 | 0 1 6 5 | 0 1 1 0,3 1 1 0 | 3 0 1 0 | 4 2 0 0 | 4 2 2 0,0 2 2 5 | 0 0 6 5 | 0 1 6 5 | 0 1 1 0,1141.062875
310/11929,3L180/3L/2I/2I/0/0,3L90/2I/0/0/3L270/2I,646416,14922,55,1 1 4 0 | 0 1 4 3 | 0 0 2 3 | 0 0 2 2,0 5 5 2 | 0 5 6 2 | 0 1 6 0 | 1 1 0 0,1 1 3 0 | 0 1 3 4 | 0 0 2 4 | 0 0 2 2,0 5 5 2 | 0 5 6 2 | 0 1 6 0 | 1 1 0 0,1533.159917
